title,description,street,city,state,postal_code,country,lat,lng,phone,fax,email,website,description_2,marker_id,is_disabled,open_hours,countries,states,logo_name,categories,order
"A. Daigger & Company Inc.",,"620 Lakeview Parkway ","Vernon Hills",IL,60061,"United States",42.2360589,-87.9523193,847-816-5060,,,www.daigger.com,,1,0,"mon=09:30 AM - 06:30 PM|tue=09:30 AM - 06:30 PM|wed=09:30 AM - 06:30 PM|thu=09:30 AM - 06:30 PM|fri=09:30 AM - 06:30 PM|sat=09:30 AM - 06:30 PM|sun=09:30 AM - 06:30 PM",,,Default,,1
"A.D.S. Inc.",,"2600 William Penn Hwy",Easton,PA,18045,"United States",40.6811689,-75.2505039,610-252-1464,,,,,1,,"mon=09:30 AM - 06:30 PM|tue=09:30 AM - 06:30 PM|wed=09:30 AM - 06:30 PM|thu=09:30 AM - 06:30 PM|fri=09:30 AM - 06:30 PM|sat=09:30 AM - 06:30 PM|sun=09:30 AM - 06:30 PM",,,Default,,2
Abatix,,"8201 Eastpoint Drive Suite 500",Dallas,TX,75227,"United States",32.7847386,-96.67863709999999,214-381-1146,,,,,1,,"mon=09:30 AM - 06:30 PM|tue=09:30 AM - 06:30 PM|wed=09:30 AM - 06:30 PM|thu=09:30 AM - 06:30 PM|fri=09:30 AM - 06:30 PM|sat=09:30 AM - 06:30 PM|sun=09:30 AM - 06:30 PM",,,Default,,3
"Ace Surgical Supply Co. Inc.",,"1034 Pearl Street P.O. Box 1710",Brockton,MA,02303,"United States",42.0797651,-71.0194037,508-588-3100,,,www.acesurgical.com,,1,,"mon=09:30 AM - 06:30 PM|tue=09:30 AM - 06:30 PM|wed=09:30 AM - 06:30 PM|thu=09:30 AM - 06:30 PM|fri=09:30 AM - 06:30 PM|sat=09:30 AM - 06:30 PM|sun=09:30 AM - 06:30 PM",,,Default,,4
Airgas,,"259 Radnor-Chester Rd",Radnor,PA,19007,"United States",40.0417869,-75.3604725,866-935-3370,,,www.airgas.com,,1,,"mon=09:30 AM - 06:30 PM|tue=09:30 AM - 06:30 PM|wed=09:30 AM - 06:30 PM|thu=09:30 AM - 06:30 PM|fri=09:30 AM - 06:30 PM|sat=09:30 AM - 06:30 PM|sun=09:30 AM - 06:30 PM",,,Default,,5
Airgas,,"6940 Meany Ave",Bakersfield,CA,93308,"United States",35.3946799,-119.079509,,,,www.airgas.com,,1,,"mon=09:30 AM - 06:30 PM|tue=09:30 AM - 06:30 PM|wed=09:30 AM - 06:30 PM|thu=09:30 AM - 06:30 PM|fri=09:30 AM - 06:30 PM|sat=09:30 AM - 06:30 PM|sun=09:30 AM - 06:30 PM",,,Default,,6
Airgas,,"14301 Mono way",Sonora,CA,95370,"United States",37.978148,-120.3313888,"(209) 536-0368",,,www.airgas.com,,1,,"mon=09:30 AM - 06:30 PM|tue=09:30 AM - 06:30 PM|wed=09:30 AM - 06:30 PM|thu=09:30 AM - 06:30 PM|fri=09:30 AM - 06:30 PM|sat=09:30 AM - 06:30 PM|sun=09:30 AM - 06:30 PM",,,Default,,7
Airgas,,"2320 E Church Ave",Fresno,CA,93706,"United States",36.7134663,-119.783226,"(559) 268-8651",,,Airgas.com,,1,,"mon=09:30 AM - 06:30 PM|tue=09:30 AM - 06:30 PM|wed=09:30 AM - 06:30 PM|thu=09:30 AM - 06:30 PM|fri=09:30 AM - 06:30 PM|sat=09:30 AM - 06:30 PM|sun=09:30 AM - 06:30 PM",,,Default,,8
Airgas,,"525 N Burke St",Visalia,CA,93292,"United States",36.3340002,-119.2836927,"(559) 733-3443",,,www.airgas.com,,1,,"mon=09:30 AM - 06:30 PM|tue=09:30 AM - 06:30 PM|wed=09:30 AM - 06:30 PM|thu=09:30 AM - 06:30 PM|fri=09:30 AM - 06:30 PM|sat=09:30 AM - 06:30 PM|sun=09:30 AM - 06:30 PM",,,Default,,9
Airgas,,"49 E 15th St Merced",Merced,CA,95340,"United States",37.2963761,-120.4764003,"(209) 723-7735",,,www.airgas.com,,1,,"mon=09:30 AM - 06:30 PM|tue=09:30 AM - 06:30 PM|wed=09:30 AM - 06:30 PM|thu=09:30 AM - 06:30 PM|fri=09:30 AM - 06:30 PM|sat=09:30 AM - 06:30 PM|sun=09:30 AM - 06:30 PM",,,Default,,10
Airgas,,"1262 Lander Ave",Turlock,CA,95380,"United States",37.4810931,-120.848571,"(209) 669-7060",,,www.airgas.com,,1,,"mon=09:30 AM - 06:30 PM|tue=09:30 AM - 06:30 PM|wed=09:30 AM - 06:30 PM|thu=09:30 AM - 06:30 PM|fri=09:30 AM - 06:30 PM|sat=09:30 AM - 06:30 PM|sun=09:30 AM - 06:30 PM",,,Default,,11
Airgas,,"1301 Rockefeller Dr ",Ceres,CA,95307,"United States",37.6024549,-120.974681,"(209) 538-6821",,,www.airgas.com,,1,,"mon=09:30 AM - 06:30 PM|tue=09:30 AM - 06:30 PM|wed=09:30 AM - 06:30 PM|thu=09:30 AM - 06:30 PM|fri=09:30 AM - 06:30 PM|sat=09:30 AM - 06:30 PM|sun=09:30 AM - 06:30 PM",,,Default,,12
